,incident_date,incident_parent,location,neighborhood,council_district,police_district
0,2020-09-01 13:00:00,Sexual Offense,-78.82 42.897,Genesee-Moselle,FILLMORE,District C
1,2020-09-01 13:31:00,Theft,-78.803 42.895,Lovejoy,LOVEJOY,District C
2,2020-09-01 14:00:00,Sexual Offense,-78.806 42.916,Hamlin Park,MASTEN,District E
3,2020-09-01 14:11:00,Sexual Offense,-78.82 42.913,Genesee-Moselle,FILLMORE,District C
4,2020-09-01 14:25:00,Sexual Offense,-78.873 42.941,Central,ELLICOTT,District B
5,2020-09-01 16:00:00,Sexual Offense,-78.8706668 42.8983865,Fruit Belt,ELLICOTT,District B
6,2020-09-01 16:01:00,Assault,-78.82 42.91,Genesee-Moselle,FILLMORE,District C
7,2020-09-01 16:04:00,Theft,-78.803 42.93,Kenfield,UNIVERSITY,District E
8,2020-09-01 18:00:00,Sexual Offense,-78.825 42.951,University Heights,UNIVERSITY,District E
9,2020-09-01 19:00:00,Sexual Offense,-78.884 42.948,West Hertel,NORTH,District D
10,2020-09-01 19:26:00,Sexual Offense,-78.816 42.94,Kensington-Bailey,MASTEN,District E
11,2020-09-01 19:58:00,Assault,-78.84 42.912,MLK Park,ELLICOTT,District C
12,2020-09-01 20:00:00,Theft,-78.879 42.897,Allentown,FILLMORE,District B
13,2020-09-01 20:00:00,Robbery,-78.821 42.91,Genesee-Moselle,FILLMORE,District C
14,2020-09-01 22:00:00,Breaking & Entering,-78.826 42.945,University Heights,UNIVERSITY,District E
15,2020-09-01 22:00:00,Assault,-78.881 42.926,Elmwood Bidwell,DELAWARE,District D
16,2020-09-01 22:30:00,Sexual Offense,-78.824 42.936,Fillmore-Leroy,MASTEN,District E
17,2020-09-01 22:30:00,Sexual Offense,-78.876 42.904,Elmwood Bryant,ELLICOTT,District B
18,2020-09-01 23:00:00,Breaking & Entering,-78.876 42.913,Elmwood Bryant,NIAGARA,District B
19,2020-09-01 23:00:00,Sexual Offense,-78.906 42.956,Riverside,NORTH,District D
20,2020-09-01 23:42:00,Assault,-78.849 42.906,Masten Park,ELLICOTT,District C
21,2020-09-01 23:55:00,Assault,-78.822 42.899,Genesee-Moselle,FILLMORE,District C
22,2020-09-02 00:00:00,Sexual Offense,-78.884 42.948,Central Park,UNIVERSITY,District D
23,2020-09-02 00:00:00,Theft,-78.818 42.928,Kenfield,MASTEN,District E
24,2020-09-02 00:00:00,Sexual Offense,-78.827 42.923,Delavan Grider,MASTEN,District E
25,2020-09-02 00:00:00,Sexual Offense,-78.801 42.909,Schiller Park,LOVEJOY,District C
26,2020-09-02 00:00:00,Sexual Offense,-78.809 42.856,Seneca-Cazenovia,SOUTH,District A
27,2020-09-02 01:00:00,Sexual Offense,-78.819 42.949,University Heights,UNIVERSITY,District E
28,2020-09-02 04:30:00,Breaking & Entering,-78.803 42.919,Schiller Park,LOVEJOY,District E
29,2020-09-02 05:18:00,Sexual Offense,-78.821 42.914,Genesee-Moselle,FILLMORE,District C
30,2020-09-02 06:00:00,Theft,-78.818 42.938,Kensington-Bailey,MASTEN,District E
31,2020-09-02 07:55:00,Sexual Offense,-78.81 42.855,Seneca-Cazenovia,SOUTH,District A
32,2020-09-02 09:54:00,Assault,-78.902 42.949,Riverside,NORTH,District D
33,2020-09-02 10:11:00,Sexual Offense,-78.877 42.919,Elmwood Bidwell,DELAWARE,District D
34,2020-09-02 11:03:00,Sexual Offense,-78.904 42.953,Riverside,NORTH,District D
35,2020-09-02 12:00:00,Breaking & Entering,-78.864 42.874,Ellicott,FILLMORE,District A
36,2020-09-02 13:16:00,Robbery,-78.844 42.934,Fillmore-Leroy,MASTEN,District E
37,2020-09-02 13:49:00,Breaking & Entering,-78.813 42.919,Schiller Park,LOVEJOY,District E
38,2020-09-02 14:23:00,Robbery,-78.82 42.873,Seneca Babcock,FILLMORE,District A
39,2020-09-02 15:41:00,Sexual Offense,-78.831 42.951,University Heights,UNIVERSITY,District E
40,2020-09-02 16:00:00,Assault,-78.852 42.947,North Park,DELAWARE,District D
41,2020-09-02 16:00:00,Theft,-78.848 42.947,North Park,DELAWARE,District D
42,2020-09-02 16:47:00,Sexual Offense,-78.857 42.902,Fruit Belt,ELLICOTT,District B
43,2020-09-02 17:00:00,Sexual Offense,-78.809 42.856,Seneca-Cazenovia,SOUTH,District A
44,2020-09-02 18:54:00,Sexual Offense,-78.877 42.932,Elmwood Bidwell,DELAWARE,District D
45,2020-09-02 19:35:00,Sexual Offense,-78.829 42.918,Delavan Grider,MASTEN,District E
46,2020-09-03 00:00:00,Sexual Offense,-78.803 42.914,Schiller Park,LOVEJOY,District C
47,2020-09-03 00:00:00,Assault,-78.904 42.956,Riverside,NORTH,District D
48,2020-09-03 00:00:00,Sexual Offense,-78.8140297 42.9281992,Kenfield,UNIVERSITY,District E
49,2020-09-03 00:30:00,Assault,-78.885 42.904,West Side,NIAGARA,District B
50,2020-09-03 02:21:00,Robbery,-78.891 42.918,Upper West Side,NIAGARA,District D
51,2020-09-03 02:40:00,Assault,-78.816 42.912,Genesee-Moselle,FILLMORE,District C
52,2020-09-03 05:00:00,Theft,-78.829 42.947,University Heights,UNIVERSITY,District E
53,2020-09-03 05:15:00,Sexual Offense,-78.893 42.907,West Side,NIAGARA,District B
54,2020-09-03 05:50:00,Theft,-78.883 42.893,Lower West Side,FILLMORE,District B
55,2020-09-03 06:35:00,Assault,-78.845 42.898,Broadway Fillmore,FILLMORE,District C
56,2020-09-03 07:15:00,Breaking & Entering,-78.857 42.891,Pratt-Willert,ELLICOTT,District B
57,2020-09-03 07:34:00,Sexual Offense,-78.816 42.94,Kensington-Bailey,MASTEN,District E
58,2020-09-03 08:10:00,Sexual Offense,-78.828 42.949,University Heights,UNIVERSITY,District E
59,2020-09-03 09:00:00,Sexual Offense,-78.894 42.91,West Side,NIAGARA,District B
60,2020-09-03 09:35:00,Sexual Offense,-78.878 42.951,West Hertel,NORTH,District D
61,2020-09-03 11:24:00,Sexual Offense,-78.854 42.91,Masten Park,ELLICOTT,District C
62,2020-09-03 11:29:00,Assault,-78.885 42.899,Lower West Side,ELLICOTT,District B
63,2020-09-03 11:58:00,Sexual Offense,-78.837 42.893,Broadway Fillmore,FILLMORE,District C
64,2020-09-03 12:11:00,Sexual Assault,-78.907 42.948,Riverside,NORTH,District D
65,2020-09-03 12:40:00,Robbery,-78.888 42.906,West Side,NIAGARA,District B
66,2020-09-03 12:48:00,Assault,-78.884 42.948,Upper West Side,NIAGARA,District D
67,2020-09-03 13:41:00,Assault,-78.809 42.921,Schiller Park,LOVEJOY,District E
68,2020-09-03 14:30:00,Theft,-78.807 42.941,Kensington-Bailey,UNIVERSITY,District E
69,2020-09-03 15:00:00,Breaking & Entering,-78.888 42.942,Grant-Amherst,NORTH,District D
70,2020-09-03 15:00:00,Assault,-78.82 42.897,Genesee-Moselle,FILLMORE,District C
71,2020-09-03 15:16:00,Assault,-78.894 42.946,West Hertel,NORTH,District D
72,2020-09-03 15:22:00,Robbery,-78.815 42.91,Genesee-Moselle,FILLMORE,District C
73,2020-09-03 16:00:00,Assault,-78.854 42.887,Pratt-Willert,ELLICOTT,District B
74,2020-09-03 17:00:00,Sexual Offense,-78.814 42.888,Lovejoy,LOVEJOY,District C
75,2020-09-03 17:30:00,Assault,-78.82 42.899,Genesee-Moselle,FILLMORE,District C
76,2020-09-03 17:30:00,Sexual Offense,-78.881 42.892,Lower West Side,FILLMORE,District B
77,2020-09-03 18:00:00,Breaking & Entering,-78.9 42.932,Black Rock,NORTH,District D
78,2020-09-03 20:00:00,Sexual Offense,-78.875 42.896,Allentown,FILLMORE,District B
79,2020-09-03 20:30:00,Sexual Offense,-78.873 42.9,Allentown,FILLMORE,District B
80,2020-09-03 21:48:00,Sexual Offense,-78.854 42.911,Masten Park,ELLICOTT,District C
81,2020-09-03 21:53:00,Robbery,-78.878 42.899,Elmwood Bryant,FILLMORE,District B
82,2020-09-03 22:22:00,Assault,-78.894 42.905,West Side,NIAGARA,District B
83,2020-09-03 22:50:00,Sexual Offense,-78.883 42.948,West Hertel,NORTH,District D
84,2020-09-03 22:56:00,Breaking & Entering,-78.85 42.916,Hamlin Park,MASTEN,District E
85,2020-09-03 23:00:00,Theft,-78.837 42.911,MLK Park,MASTEN,District C
86,2020-09-04 00:00:00,Sexual Offense,-78.816 42.94,Kensington-Bailey,MASTEN,District E
87,2020-09-04 00:24:00,Assault,-78.841 42.873,Seneca Babcock,FILLMORE,District A
88,2020-09-04 02:08:00,Breaking & Entering,-78.812 42.857,Seneca-Cazenovia,SOUTH,District A
89,2020-09-04 02:10:00,Sexual Offense,-78.873 42.9,Allentown,FILLMORE,District B
90,2020-09-04 02:32:00,Assault,-78.8151206 42.890126,Lovejoy,LOVEJOY,District C
91,2020-09-04 03:15:00,Robbery,-78.8773751 42.91611925,Elmwood Bidwell,DELAWARE,District D
92,2020-09-04 04:00:00,Theft,-78.852 42.915,Masten Park,MASTEN,District C
93,2020-09-04 04:20:00,Sexual Offense,-78.822 42.894,Lovejoy,FILLMORE,District C
94,2020-09-04 04:51:00,Assault,-78.859 42.92,Masten Park,MASTEN,District E
95,2020-09-04 06:00:00,Breaking & Entering,-78.809 42.939,Fruit Belt,ELLICOTT,District B
96,2020-09-04 06:00:00,Sexual Offense,-78.863 42.9,Fruit Belt,ELLICOTT,District B
97,2020-09-04 06:37:00,Breaking & Entering,-78.848 42.924,Hamlin Park,MASTEN,District E
98,2020-09-04 07:30:00,Sexual Offense,-78.841 42.94,Parkside,MASTEN,District D
99,2020-09-04 07:30:00,Sexual Offense,-78.888 42.919,Elmwood Bidwell,NIAGARA,District D
100,2020-09-04 08:30:00,Sexual Offense,-78.814 42.885,Lovejoy,LOVEJOY,District C
101,2020-09-04 09:00:00,Sexual Offense,-78.89 42.932,Ellicott,FILLMORE,District A
102,2020-09-04 13:00:00,Sexual Offense,-78.837 42.907,MLK Park,MASTEN,District C
103,2020-09-04 13:22:00,Sexual Offense,-78.806 42.853,Seneca-Cazenovia,SOUTH,District A
104,2020-09-04 13:36:00,Breaking & Entering,-78.8 42.898,Lovejoy,LOVEJOY,District C
105,2020-09-04 14:30:00,Theft,-78.88 42.896,Allentown,FILLMORE,District B
106,2020-09-04 14:53:00,Sexual Offense,-78.862 42.921,Elmwood Bidwell,ELLICOTT,District D
107,2020-09-04 15:00:00,Sexual Offense,-78.844 42.935,Parkside,DELAWARE,District D
108,2020-09-04 16:00:00,Robbery,-78.81772 42.914658,Genesee-Moselle,FILLMORE,District C
109,2020-09-04 16:00:00,Sexual Offense,-78.801 42.941,Kensington-Bailey,UNIVERSITY,
110,2020-09-04 16:34:00,Assault,-78.814 42.917,Schiller Park,FILLMORE,District E
111,2020-09-04 16:50:00,Assault,-78.9 42.915,Upper West Side,NIAGARA,District D
112,2020-09-04 18:00:00,Sexual Offense,-78.871 42.876,Central,FILLMORE,District B
113,2020-09-04 18:00:00,Theft,-78.804 42.852,Seneca-Cazenovia,SOUTH,District A
114,2020-09-04 18:00:00,Theft,-78.897 42.926,Upper West Side,NORTH,District D
115,2020-09-04 18:30:00,Robbery,-78.883 42.948,West Hertel,NORTH,District D
116,2020-09-04 19:00:00,Breaking & Entering,-78.807 42.932,Kenfield,UNIVERSITY,District E
117,2020-09-04 19:00:00,Sexual Offense,-78.868 42.889,Central,ELLICOTT,District B
118,2020-09-04 19:39:00,Assault,-78.823 42.915,Genesee-Moselle,MASTEN,District E
119,2020-09-04 20:30:00,Sexual Offense,-78.857 42.909,Masten Park,ELLICOTT,District B
120,2020-09-04 21:20:00,Assault,-78.893 42.923,Upper West Side,NIAGARA,District D
121,2020-09-04 21:30:00,Sexual Offense,-78.873 42.918,Elmwood Bidwell,DELAWARE,District D
122,2020-09-04 22:00:00,Sexual Assault,-78.871 42.893,University Heights,UNIVERSITY,District E
123,2020-09-04 22:00:00,Theft,-78.885 42.92,Elmwood Bidwell,NIAGARA,District D
124,2020-09-04 22:11:00,Sexual Offense,-78.838 42.896,Broadway Fillmore,FILLMORE,District C
125,2020-09-04 22:17:00,Robbery,-78.904 42.958,Riverside,NORTH,District D
126,2020-09-04 23:00:00,Theft,-78.882 42.895,Lower West Side,FILLMORE,District B
127,2020-09-04 23:56:00,Assault,-78.9 42.935,Black Rock,NORTH,District D
128,2020-09-05 00:00:00,Sexual Offense,-78.848 42.891,Broadway Fillmore,ELLICOTT,District C
129,2020-09-05 00:00:00,Sexual Offense,-78.891 42.942,Grant-Amherst,NORTH,District D
130,2020-09-05 00:00:00,Sexual Offense,-78.822 42.94,University Heights,UNIVERSITY,District E
131,2020-09-05 00:15:00,Theft,-78.855 42.908,Masten Park,ELLICOTT,District C
132,2020-09-05 00:15:00,Assault,-78.897 42.957,Riverside,NORTH,District D
133,2020-09-05 00:30:00,Breaking & Entering,-78.852 42.918,Hamlin Park,MASTEN,District E
134,2020-09-05 02:11:00,Assault,-78.814 42.927,Kenfield,MASTEN,District E
135,2020-09-05 02:30:00,Theft,-78.838 42.914,Masten Park,ELLICOTT,District B
136,2020-09-05 04:00:00,Theft,-78.827 42.926,Delavan Grider,MASTEN,District E
137,2020-09-05 04:55:00,Theft,-78.816 42.914,Genesee-Moselle,FILLMORE,District C
138,2020-09-05 06:00:00,Breaking & Entering,-78.899 42.943,Black Rock,NORTH,District D
139,2020-09-05 07:23:00,Sexual Offense,-78.821 42.895,Lovejoy,FILLMORE,District C
140,2020-09-05 08:00:00,Sexual Offense,-78.877 42.9,Allentown,FILLMORE,District B
141,2020-09-05 08:00:00,Theft,-78.886 42.907,West Side,NIAGARA,District B
142,2020-09-05 08:42:00,Theft,-78.818 42.896,Genesee-Moselle,FILLMORE,District C
143,2020-09-05 10:09:00,Sexual Offense,-78.8773751 42.91611925,Elmwood Bidwell,DELAWARE,District D
144,2020-09-05 11:41:00,Theft,-78.824 42.911,Genesee-Moselle,FILLMORE,District C
145,2020-09-05 12:15:00,Sexual Offense,-78.835 42.941,Fillmore-Leroy,MASTEN,District E
146,2020-09-05 12:40:00,Sexual Offense,-78.807 42.888,Lovejoy,LOVEJOY,District C
147,2020-09-05 13:00:00,Breaking & Entering,-78.904 42.936,Black Rock,NORTH,District D
148,2020-09-05 13:53:00,Theft,-78.846 42.919,Hamlin Park,MASTEN,District E
149,2020-09-05 14:00:00,Sexual Offense,-78.86021415 42.88597298,Pratt-Willert,ELLICOTT,District B
150,2020-09-05 14:22:00,Breaking & Entering,-78.824 42.956,University Heights,UNIVERSITY,District E
151,2020-09-05 14:24:00,Sexual Offense,-78.89 42.905,West Side,NIAGARA,District B
152,2020-09-05 14:28:00,Breaking & Entering,-78.825 42.895,Lovejoy,FILLMORE,District C
153,2020-09-05 14:30:00,Assault,-78.812 42.857,Seneca-Cazenovia,SOUTH,District A
154,2020-09-05 15:00:00,Sexual Offense,-78.852 42.912,Masten Park,ELLICOTT,District C
155,2020-09-05 15:18:00,Sexual Offense,-78.897 42.899,West Side,NIAGARA,District B
156,2020-09-05 15:36:00,Assault,-78.864 42.922,Elmwood Bidwell,ELLICOTT,District D
157,2020-09-05 16:00:00,Sexual Offense,-78.858 42.945,North Park,DELAWARE,District D
158,2020-09-05 16:24:00,Sexual Offense,-78.878 42.951,West Hertel,NORTH,District D
159,2020-09-05 16:32:00,Assault,-78.845 42.892,Broadway Fillmore,FILLMORE,District C
160,2020-09-05 16:40:00,Sexual Offense,-78.866 42.911,Central,ELLICOTT,District B
161,2020-09-05 16:59:00,Assault,-78.808 42.943,Kensington-Bailey,UNIVERSITY,District E
162,2020-09-05 17:00:00,Sexual Offense,-78.873 42.902,Allentown,FILLMORE,District B
163,2020-09-05 17:05:00,Sexual Offense,-78.84 42.881,Broadway Fillmore,FILLMORE,District C
164,2020-09-05 17:32:00,Theft,-78.844 42.892,Broadway Fillmore,FILLMORE,District C
165,2020-09-05 18:00:00,Sexual Offense,-78.836 42.91,Broadway Fillmore,ELLICOTT,District C
166,2020-09-05 18:14:00,Theft,-78.877 42.914,Elmwood Bryant,NIAGARA,District B
167,2020-09-05 20:40:00,Sexual Offense,-78.884 42.948,Elmwood Bidwell,DELAWARE,District D
168,2020-09-05 21:00:00,Sexual Offense,-78.8788965 42.8766797,Central,FILLMORE,District B
169,2020-09-05 21:16:00,Assault,-78.902 42.941,Black Rock,NORTH,District D
170,2020-09-05 22:26:00,Sexual Offense,-78.871 42.874,Ellicott,FILLMORE,District A
171,2020-09-05 23:00:00,Breaking & Entering,-78.852 42.923,Hamlin Park,MASTEN,District E
172,2020-09-05 23:10:00,Assault,-78.8571606 42.8788159,Ellicott,ELLICOTT,District A
173,2020-09-06 00:00:00,Breaking & Entering,-78.825 42.929,Delavan Grider,MASTEN,District E
174,2020-09-06 00:00:00,Assault,-78.828 42.857,South Park,SOUTH,District A
175,2020-09-06 00:00:00,Sexual Offense,-78.883 42.908,Elmwood Bryant,NIAGARA,District B
176,2020-09-06 00:00:00,Theft,-78.865 42.914,Elmwood Bryant,ELLICOTT,District B
177,2020-09-06 01:00:00,Sexual Offense,-78.856 42.958,North Park,DELAWARE,District D
178,2020-09-06 01:11:00,Breaking & Entering,-78.843 42.889,Broadway Fillmore,FILLMORE,District C
179,2020-09-06 03:30:00,Robbery,-78.817 42.896,Genesee-Moselle,FILLMORE,District C
180,2020-09-06 04:00:00,Theft,-78.851 42.948,North Park,DELAWARE,District D
181,2020-09-06 05:03:00,Assault,-78.899 42.952,Riverside,NORTH,District D
182,2020-09-06 07:51:00,Theft,-78.828 42.907,MLK Park,FILLMORE,District C
183,2020-09-06 08:00:00,Sexual Offense,-78.835 42.918,Delavan Grider,MASTEN,District E
184,2020-09-06 08:53:00,Assault,-78.845 42.911,Masten Park,ELLICOTT,District C
185,2020-09-06 09:10:00,Sexual Offense,-78.824 42.923,Delavan Grider,MASTEN,District E
186,2020-09-06 10:30:00,Sexual Offense,-78.851 42.94,Parkside,DELAWARE,District D
187,2020-09-06 11:03:00,Breaking & Entering,-78.885 42.922,Upper West Side,NIAGARA,District D
188,2020-09-06 11:45:00,Assault,-78.811 42.928,Kenfield,UNIVERSITY,District E
189,2020-09-06 12:30:00,Breaking & Entering,-78.863 42.915,Masten Park,MASTEN,District E
190,2020-09-06 13:16:00,Sexual Offense,-78.803 42.85,Seneca-Cazenovia,SOUTH,District A
191,2020-09-06 14:00:00,Theft,-78.876 42.902,Allentown,FILLMORE,District B
192,2020-09-06 14:15:00,Assault,-78.899 42.948,Riverside,NORTH,District D
193,2020-09-06 15:37:00,Sexual Offense,-78.82 42.933,Kensington-Bailey,MASTEN,District E
194,2020-09-06 16:00:00,Sexual Offense,-78.884 42.925,Elmwood Bidwell,NIAGARA,District D
195,2020-09-06 16:16:00,Robbery,-78.874 42.887,,,
196,2020-09-06 17:25:00,Assault,-78.897 42.924,Upper West Side,NORTH,District D
197,2020-09-06 20:00:00,Sexual Offense,-78.881 42.926,Elmwood Bidwell,DELAWARE,District D
198,2020-09-06 21:47:00,Theft,-78.814 42.934,Kensington-Bailey,MASTEN,District E
199,2020-09-06 23:17:00,Sexual Offense,-78.869 42.951,North Park,NORTH,District D
200,2020-09-07 00:00:00,Sexual Offense,-78.833 42.855,Hopkins-Tifft,SOUTH,District A
201,2020-09-07 00:00:00,Sexual Offense,-78.824 42.848,Hopkins-Tifft,SOUTH,District A
202,2020-09-07 00:00:00,Sexual Offense,-78.872 42.918,Elmwood Bidwell,DELAWARE,District D
203,2020-09-07 01:30:00,Assault,-78.815 42.857,Seneca-Cazenovia,SOUTH,District A
204,2020-09-07 03:01:00,Assault,-78.83 42.934,Fillmore-Leroy,MASTEN,District E
205,2020-09-07 03:03:00,Sexual Offense,,West Hertel,NORTH,District D
206,2020-09-07 04:00:00,Theft,-78.812 42.936,Kensington-Bailey,UNIVERSITY,District E
207,2020-09-07 07:00:00,Sexual Offense,-78.903 42.954,Riverside,NORTH,District D
208,2020-09-07 09:00:00,Assault,-111.4290597 56.7591658,,,
209,2020-09-07 10:45:00,Breaking & Entering,-78.828 42.949,University Heights,UNIVERSITY,District E
210,2020-09-07 11:08:00,Assault,-78.829 42.918,Delavan Grider,MASTEN,District E
211,2020-09-07 12:00:00,Sexual Offense,-78.839 42.912,MLK Park,ELLICOTT,District C
212,2020-09-07 12:00:00,Sexual Offense,-78.815 42.898,Genesee-Moselle,FILLMORE,District C
213,2020-09-07 13:15:00,Assault,-78.8939661 42.911993,West Side,NIAGARA,District B
214,2020-09-07 15:00:00,Sexual Offense,-78.899 42.938,Black Rock,NORTH,District D
215,2020-09-07 15:05:00,Robbery,-78.872 42.889,Central,ELLICOTT,District B
216,2020-09-07 15:31:00,Assault,-78.877 42.901,Allentown,FILLMORE,District B
217,2020-09-07 15:40:00,Theft,-78.886 42.921,Upper West Side,NIAGARA,District D
218,2020-09-07 16:00:00,Sexual Offense,-78.868 42.883,Pratt-Willert,ELLICOTT,District B
219,2020-09-07 16:00:00,Theft,-78.88 42.911,Elmwood Bryant,NIAGARA,District B
220,2020-09-07 16:00:00,Sexual Offense,-78.803 42.931,Kenfield,UNIVERSITY,District E
221,2020-09-07 16:00:00,Breaking & Entering,-78.814 42.944,University Heights,UNIVERSITY,District E
222,2020-09-07 16:21:00,Assault,-78.85 42.905,Masten Park,ELLICOTT,District C
223,2020-09-07 17:00:00,Sexual Offense,-78.899 42.949,Riverside,NORTH,District D
224,2020-09-07 18:00:00,Sexual Offense,-78.816 42.913,Genesee-Moselle,FILLMORE,District C
225,2020-09-07 19:00:00,Sexual Offense,-78.871 42.925,Elmwood Bidwell,DELAWARE,District D
226,2020-09-07 19:11:00,Robbery,-78.894 42.897,Lower West Side,ELLICOTT,District B
227,2020-09-07 19:13:00,Sexual Offense,-78.814 42.924,Kenfield,UNIVERSITY,District E
228,2020-09-07 19:30:00,Sexual Offense,-78.834 42.894,Broadway Fillmore,FILLMORE,District C
229,2020-09-07 21:11:00,Sexual Offense,-78.891 42.938,Grant-Amherst,NORTH,District D
230,2020-09-07 21:17:00,Assault,-78.806 42.931,Kenfield,UNIVERSITY,District E
231,2020-09-07 21:30:00,Sexual Offense,-78.807 42.898,Genesee-Moselle,LOVEJOY,District C
232,2020-09-07 22:00:00,Breaking & Entering,-78.823 42.94,Grant-Amherst,NORTH,District D
233,2020-09-07 22:24:00,Homicide,-78.823 42.923,Delavan Grider,MASTEN,District E
234,2020-09-07 23:03:00,Assault,-78.811 42.938,Kensington-Bailey,UNIVERSITY,District E
235,2020-09-07 23:24:00,Assault,-78.809 42.902,Genesee-Moselle,LOVEJOY,District C
236,2020-09-08 00:00:00,Sexual Offense,-78.877 42.923,Elmwood Bidwell,DELAWARE,District D
237,2020-09-08 00:00:00,Sexual Offense,-78.818 42.934,Kensington-Bailey,MASTEN,District E
238,2020-09-08 00:00:00,Sexual Offense,-78.814 42.925,Kenfield,UNIVERSITY,District E
239,2020-09-08 00:00:00,Sexual Offense,-78.811 42.888,Lovejoy,LOVEJOY,District C
240,2020-09-08 00:00:00,Sexual Offense,-78.907 42.94,Black Rock,NORTH,District D
241,2020-09-08 00:00:00,Sexual Offense,-78.887 42.895,Lower West Side,ELLICOTT,District B
242,2020-09-08 00:00:00,Sexual Offense,-78.9 42.941,Ellicott,FILLMORE,District A
243,2020-09-08 01:29:00,Assault,-78.803 42.942,Kensington-Bailey,UNIVERSITY,District E
244,2020-09-08 03:00:00,Theft,-78.824 42.849,South Park,SOUTH,District A
245,2020-09-08 03:51:00,Assault,-78.845 42.947,North Park,DELAWARE,District D
246,2020-09-08 04:10:00,Breaking & Entering,-78.871 42.948,North Park,DELAWARE,District D
247,2020-09-08 07:18:00,Theft,-78.83 42.953,University Heights,UNIVERSITY,District E
248,2020-09-08 08:00:00,Sexual Offense,-78.889 42.925,Upper West Side,NORTH,District D
249,2020-09-08 08:00:00,Breaking & Entering,-78.907 42.947,Riverside,NORTH,District D
250,2020-09-08 08:38:00,Sexual Offense,-78.823 42.94,Grant-Amherst,NORTH,District D
251,2020-09-08 09:00:00,Sexual Offense,-78.836 42.923,Delavan Grider,MASTEN,District E
252,2020-09-08 12:00:00,Sexual Offense,-78.877 42.89,Central,ELLICOTT,District B
253,2020-09-08 12:10:00,Sexual Offense,-78.854 42.88,Pratt-Willert,ELLICOTT,District B
254,2020-09-08 12:30:00,Sexual Offense,-78.851 42.94,Parkside,DELAWARE,District D
255,2020-09-08 13:41:00,Sexual Offense,-78.888 42.914,West Side,NIAGARA,District B
256,2020-09-08 15:13:00,Sexual Offense,-78.89 42.949,West Hertel,NORTH,District D
257,2020-09-08 15:40:00,Theft,-78.815 42.892,Lovejoy,LOVEJOY,District C
258,2020-09-08 15:57:00,Breaking & Entering,-78.807 42.945,Kensington-Bailey,UNIVERSITY,District E
259,2020-09-08 18:24:00,Sexual Offense,-78.89 42.956,West Hertel,NORTH,District D
260,2020-09-08 19:43:00,Assault,,,,
261,2020-09-08 19:47:00,Assault,-78.824 42.914,MLK Park,FILLMORE,District C
262,2020-09-08 20:00:00,Assault,-78.836 42.888,Broadway Fillmore,FILLMORE,District C
263,2020-09-08 20:00:00,Sexual Offense,-78.87 42.956,North Park,NORTH,District D
264,2020-09-08 20:30:00,Assault,-78.825 42.857,Hopkins-Tifft,LOVEJOY,District A
265,2020-09-08 20:37:00,Sexual Offense,-78.852 42.876,Ellicott,FILLMORE,District A
266,2020-09-08 21:10:00,Assault,-78.834 42.923,Delavan Grider,MASTEN,District E
267,2020-09-08 21:30:00,Theft,-78.896 42.92,Upper West Side,NIAGARA,District D
268,2020-09-08 21:42:00,Assault,-78.804 42.917,Schiller Park,LOVEJOY,District E
269,2020-09-08 22:30:00,Breaking & Entering,-78.841 42.882,Broadway Fillmore,FILLMORE,District C
270,2020-09-08 23:00:00,Assault,-78.8317333 42.8918722,Broadway Fillmore,FILLMORE,District C
271,2020-09-09 00:00:00,Sexual Offense,,Elmwood Bidwell,DELAWARE,District D
272,2020-09-09 00:00:00,Theft,-78.814 42.885,Lovejoy,FILLMORE,District A
273,2020-09-09 00:00:00,Sexual Offense,-78.801 42.917,Kenfield,UNIVERSITY,District E
274,2020-09-09 00:00:00,Sexual Offense,-78.832 42.933,Fillmore-Leroy,MASTEN,District E
275,2020-09-09 00:00:00,Sexual Offense,-78.892 42.932,Upper West Side,NORTH,District D
276,2020-09-09 00:00:00,Sexual Offense,-78.825 42.925,Delavan Grider,MASTEN,District E
277,2020-09-09 02:00:00,Sexual Offense,-78.868 42.927,Elmwood Bidwell,DELAWARE,District D
278,2020-09-09 03:00:00,Sexual Offense,-78.824 42.907,Genesee-Moselle,FILLMORE,District C
279,2020-09-09 06:00:00,Sexual Offense,-78.9 42.963,Riverside,NORTH,District D
280,2020-09-09 07:50:00,Breaking & Entering,-78.84 42.883,Broadway Fillmore,FILLMORE,District C
281,2020-09-09 08:11:00,Theft,-78.855 42.944,Parkside,DELAWARE,District D
282,2020-09-09 09:56:00,Assault,-78.904 42.956,Riverside,NORTH,District D
283,2020-09-09 10:23:00,Sexual Offense,-78.868864 42.8923749,Fruit Belt,ELLICOTT,District B
284,2020-09-09 11:20:00,Sexual Offense,-78.898 42.95,Riverside,NORTH,District D
285,2020-09-09 12:28:00,Breaking & Entering,-78.882 42.896,Lower West Side,ELLICOTT,District B
286,2020-09-09 12:50:00,Breaking & Entering,-78.848 42.918,Hamlin Park,MASTEN,District E
287,2020-09-09 13:24:00,Sexual Offense,-78.809 42.922,Schiller Park,LOVEJOY,District E
288,2020-09-09 13:27:00,Sexual Offense,-78.814 42.907,Genesee-Moselle,LOVEJOY,District C
289,2020-09-09 13:43:00,Assault,-78.907 42.94,Black Rock,NORTH,District D
290,2020-09-09 14:05:00,Sexual Offense,-78.814 42.936,Kensington-Bailey,UNIVERSITY,District E
