,incident_date,incident_parent,location,neighborhood,council_district,police_district
3854,2020-12-16 07:40:00,Assault,-78.821 42.937,Kensington-Bailey,UNIVERSITY,District E
3855,2020-12-16 08:55:00,Sexual Offense,-78.887 42.913,West Side,NIAGARA,District B
3856,2020-12-16 10:00:00,Theft,-78.834 42.911,MLK Park,FILLMORE,District C
3857,2020-12-16 10:57:00,Breaking & Entering,-78.884 42.906,West Side,NIAGARA,District B
3858,2020-12-16 11:17:00,Assault,-78.812 42.906,Genesee-Moselle,LOVEJOY,District C
3859,2020-12-16 12:00:00,Breaking & Entering,-78.834 42.871,Seneca Babcock,LOVEJOY,District A
3860,2020-12-16 13:00:00,Theft,-78.866 42.912,Broadway Fillmore,FILLMORE,District C
3861,2020-12-16 13:10:00,Breaking & Entering,-78.815 42.925,Kenfield,LOVEJOY,District E
3862,2020-12-16 13:30:00,Robbery,-78.848 42.923,Central Park,MASTEN,District E
3863,2020-12-16 14:00:00,Assault,-78.887 42.938,Grant-Amherst,NORTH,District D
3864,2020-12-16 14:00:00,Sexual Offense,-78.868 42.957,North Park,DELAWARE,District D
3865,2020-12-16 14:48:00,Robbery,-78.8523722 42.8992675,,,
3866,2020-12-16 15:00:00,Sexual Offense,-78.863 42.918,Elmwood Bidwell,ELLICOTT,District D
3867,2020-12-16 16:00:00,Sexual Offense,-78.831 42.952,University Heights,UNIVERSITY,District E
3868,2020-12-16 16:04:00,Assault,-78.903 42.96,Riverside,NORTH,District D
3869,2020-12-16 17:13:00,Breaking & Entering,-78.879 42.925,Elmwood Bidwell,DELAWARE,District D
3870,2020-12-16 18:00:00,Theft,-78.81 42.93,Kenfield,UNIVERSITY,District E
3871,2020-12-16 18:24:00,Sexual Offense,-78.833 42.903,Broadway Fillmore,FILLMORE,District C
3872,2020-12-16 18:59:00,Sexual Offense,-78.854 42.889,Broadway Fillmore,ELLICOTT,District C
3873,2020-12-16 19:08:00,Breaking & Entering,-78.893 42.912,West Side,NIAGARA,District B
3874,2020-12-16 19:13:00,Theft,-78.88 42.913,Elmwood Bryant,NIAGARA,District B
3875,2020-12-16 19:36:00,Sexual Offense,-78.873 42.936,Parkside,NORTH,District D
3876,2020-12-16 20:15:00,Breaking & Entering,-78.869 42.902,Fruit Belt,ELLICOTT,District B
3877,2020-12-16 20:18:00,Sexual Offense,-78.886 42.894,Lower West Side,ELLICOTT,District B
3878,2020-12-16 23:12:00,Robbery,-78.879 42.915,Elmwood Bryant,NIAGARA,District B
3879,2020-12-16 23:36:00,Robbery,-78.877 42.92,Elmwood Bidwell,DELAWARE,District D
3880,2020-12-17 00:00:00,Theft,-78.905 42.942,Black Rock,NORTH,District D
3881,2020-12-17 00:27:00,Breaking & Entering,-78.869 42.904,Elmwood Bryant,ELLICOTT,District B
3882,2020-12-17 01:30:00,Theft,-78.822 42.925,Kensington-Bailey,UNIVERSITY,District E
3883,2020-12-17 08:00:00,Assault,-78.801 42.94,Kensington-Bailey,UNIVERSITY,District E
3884,2020-12-17 09:00:00,Breaking & Entering,-78.89 42.909,West Side,NIAGARA,District B
3885,2020-12-17 09:20:00,Assault,-78.868 42.944,Parkside,NORTH,District D
3886,2020-12-17 10:10:00,Theft,-78.814 42.897,Genesee-Moselle,FILLMORE,District C
3887,2020-12-17 10:30:00,Theft,-78.825 42.85,Hopkins-Tifft,SOUTH,District A
3888,2020-12-17 10:30:00,Assault,-78.834 42.936,Fillmore-Leroy,MASTEN,District E
3889,2020-12-17 10:30:00,Theft,-78.887 42.922,Elmwood Bidwell,NIAGARA,District D
3890,2020-12-17 10:52:00,Theft,-78.832 42.894,Broadway Fillmore,FILLMORE,District C
